Номер поезда,Тип,Маршрут,Плановое прибытие,Плановое отправление,Путь,Примечание
2014,Пассажирский,Москва — Санкт-Петербург,08:15,08:20,1,Фирменный
105,Скорый,Нижний Новгород — Москва,09:30,09:35,3,
301,Пригородный,Электросталь — Москва,10:00,10:05,5,Электричка
88,Грузовой,Ярославль — Москва,10:45,,2,Без остановки
3002,Пассажирский,Казань — Москва,11:20,11:30,4,
45,Скорый,Москва — Воронеж,12:00,12:05,1,
6307,Пригородный,Подольск — Москва,12:30,12:35,6,Электричка
7701,Грузовой,Тула — Москва,13:15,,2,Транзит
12,Пассажирский,Москва — Самара,14:00,14:10,3,
54,Скорый,Санкт-Петербург — Москва,15:45,15:50,1,Сапсан
100,Пассажирский,Москва — Екатеринбург,16:30,16:40,4,
202,Грузовой,Рязань — Москва,17:00,,5,Контейнерный
33,Пассажирский,Москва — Ростов-на-Дону,18:15,18:25,2,
6001,Пригородный,Москва — Серпухов,19:00,19:05,6,Электричка
75,Скорый,Москва — Минск,20:00,20:10,1,Международный
